event,type,red1,red2,red3,redFinal,redFoul,redAuto,redTeleop,blue1,blue2,blue3,blueFinal,blueFoul,blueAuto,blueTeleop
MICMP,Q,4377,2145,1189,156,20,86,30,4391,1504,910,150,26,56,48
MRCMP,Q,3974,4285,1626,136,3,89,24,1676,816,223,99,3,46,30
MICMP,Q,123,573,858,105,0,43,42,3421,107,2959,62,3,13,36
MDBA,Q,3941,4099,2819,6,0,0,6,4067,2534,2912,58,0,14,34
MRCMP,Q,225,224,4460,145,0,87,28,1089,1881,1403,101,6,57,18
MICMP,Q,70,2612,2000,169,0,85,54,217,503,326,104,0,54,30
MDBA,Q,1559,122,53,34,3,9,22,1389,3793,1719,69,0,29,30
MRCMP,Q,1218,75,293,155,0,69,36,4342,1923,4575,133,3,74,36
MICMP,Q,3618,67,2474,156,6,44,66,3414,1718,2054,176,0,108,48
MDBA,Q,2421,2641,2537,36,0,24,12,4266,449,4464,37,0,9,18
MRCMP,Q,303,1370,3340,98,32,42,4,433,1391,714,47,0,17,0
MICMP,Q,4384,2767,2619,142,0,78,54,1701,4381,141,120,0,24,66
MDBA,Q,4122,4456,3714,41,0,15,6,3455,250,3389,84,0,18,36
MRCMP,Q,1640,316,1228,135,6,73,36,4475,357,869,37,0,9,18
MDBA,Q,2866,1708,128,170,0,92,48,4288,238,1086,37,0,21,6
MICMP,Q,548,2137,2960,152,3,75,54,3688,469,862,151,0,105,36
MRCMP,Q,2495,2729,222,122,3,65,44,2590,1302,1279,124,0,54,60
MICMP,Q,2337,2611,245,125,0,65,30,2673,3539,314,171,0,111,30
MDBA,Q,4505,3419,2172,16,0,4,12,2849,4514,2640,36,6,6,24
MRCMP,Q,486,2539,103,40,3,3,24,3314,11,193,127,0,77,30
MICMP,Q,33,68,2851,184,0,94,60,3656,4325,3572,175,0,83,42
MDBA,Q,1895,3941,1885,65,0,29,16,768,2963,3373,9,0,3,6
MRCMP,Q,433,4460,2607,85,0,37,18,225,272,1143,84,3,51,30
MICMP,Q,1023,3234,280,127,0,45,42,1684,857,2834,73,0,33,30
MDBA,Q,686,4541,1559,83,0,13,30,3150,449,2199,59,0,19,10
MRCMP,Q,3340,1640,4342,114,0,54,40,1626,1881,316,98,0,36,42
MICMP,Q,51,3641,1025,114,0,54,30,3604,494,1918,181,20,81,60
MDBA,Q,3748,53,4122,12,0,2,0,4099,1111,1699,37,0,25,12
MICMP,Q,548,2474,27,138,0,74,54,70,4377,3602,78,0,44,24
MRCMP,Q,816,4575,4475,74,0,38,36,2559,1279,486,108,0,48,30
MDBA,Q,2537,4638,2377,84,3,49,22,375,3714,4050,87,3,44,30
MICMP,Q,573,2137,3421,161,3,74,54,2612,1504,314,99,0,51,48
MRCMP,Q,1143,2539,75,124,20,34,30,56,869,1228,142,3,73,36
MICMP,Q,469,2771,1701,126,0,52,54,2851,326,67,89,3,30,36
MRCMP,Q,2729,1089,193,173,0,95,48,272,11,1672,62,3,15,34
MDBA,Q,329,4266,3283,52,0,24,18,238,3793,2534,46,0,18,18
MICMP,Q,2959,4391,2054,97,0,29,48,1684,2337,3656,88,6,36,36
